Card No.,Card Name,Level,Cost,Power,Trigger,Soul
BM/S15-001,"Bashful, Nadeko Sengoku",2,1,6500,1,1
BM/S15-001S,"Bashful, Nadeko Sengoku",2,1,6500,1,1
BM/S15-002,Mayoi Hachikuji,3,2,10000,1,2
BM/S15-003,Koyomi Araragi on Mother's Day,0,0,1000,0,1
BM/S15-004,"Wandering Girl, Mayoi Hachikuji",0,0,1000,0,1
BM/S15-004S,"Wandering Girl, Mayoi Hachikuji",0,0,1000,0,1
BM/S15-005,"Lost Cattle, Mayoi Hachikuji",0,0,4000,0,1
BM/S15-005R,"Lost Cattle, Mayoi Hachikuji",,,,,
BM/S15-006,"Girl Lost in the Snail, Mayoi Hachikuji",,,,,
BM/S15-006SP,"Girl Lost in the Snail, Mayoi Hachikuji",,,,,
BM/S15-007,Shinobu Oshino the Vampire,,,,,
BM/S15-008,"Enthusiastic Girl, Nadeko Sengoku",,,,,
BM/S15-009,"Wreck of a Former Vampire, Shinobu Oshino",,,,,
BM/S15-010,"Shy Girl, Nadeko Sengoku",,,,,
BM/S15-011,"Looking Down on Koyomi, Mayoi Hachikuji",,,,,
BM/S15-012,"Wandering Spirit, Mayoi Hachikuji",,,,,
BM/S15-013,"""Not on Purpose"" Mayoi Hachikuji",,,,,
BM/S15-014,"Human-looking Vampire, Shinobu Oshino",,,,,
BM/S15-015,"Infatuation, Nadeko Sengoku",,,,,
BM/S15-016,"Vampire-looking Human, Koyomi Araragi",,,,,
BM/S15-017,Shinobu Oshino,,,,,
BM/S15-018,"Likes Donuts, Shinobu Oshino",,,,,
BM/S15-019,"Hungry, Mayoi Hachikuji",,,,,
BM/S15-020,"Self-proclaimed 500 Years Old, Shinobu Oshino",,,,,
BM/S15-021,Real Fight,,,,,
BM/S15-022,Tongue Twister,,,,,
BM/S15-023,Maintaining Existence,,,,,
BM/S15-024,MAYOI Mai Mai,,,,,
BM/S15-025,Cursed Girl,,,,,
BM/S15-026,"Family Circumstances, Tsubasa Hanekawa",,,,,
BM/S15-027,,,,,,
BM/S15-028,,,,,,
BM/S15-029,,,,,,
BM/S15-030,,,,,,
BM/S15-031,,,,,,
BM/S15-032,,,,,,
BM/S15-033,,,,,,
BM/S15-034,,,,,,
BM/S15-035,,,,,,
BM/S15-036,,,,,,
BM/S15-037,,,,,,
BM/S15-038,,,,,,
BM/S15-039,,,,,,
BM/S15-040,,,,,,
BM/S15-041,,,,,,
BM/S15-042,,,,,,
BM/S15-043,,,,,,
BM/S15-044,,,,,,
BM/S15-045,,,,,,
BM/S15-046,,,,,,
BM/S15-047,,,,,,
BM/S15-048,,,,,,
BM/S15-049,,,,,,
BM/S15-050,,,,,,
BM/S15-051,,,,,,
BM/S15-052,,,,,,
BM/S15-053,,,,,,
BM/S15-054,,,,,,
BM/S15-055,,,,,,
BM/S15-056,,,,,,
BM/S15-057,,,,,,
BM/S15-058,,,,,,
BM/S15-059,,,,,,
BM/S15-060,,,,,,
BM/S15-061,,,,,,
BM/S15-062,,,,,,
BM/S15-063,,,,,,
BM/S15-064,,,,,,
BM/S15-065,,,,,,
BM/S15-066,,,,,,
BM/S15-067,,,,,,
BM/S15-068,,,,,,
BM/S15-069,,,,,,
BM/S15-070,,,,,,
BM/S15-071,,,,,,
BM/S15-072,,,,,,
BM/S15-073,,,,,,
BM/S15-074,,,,,,
BM/S15-075,,,,,,
BM/S15-076,,,,,,
BM/S15-077,,,,,,
BM/S15-078,,,,,,
BM/S15-079,,,,,,
BM/S15-080,,,,,,
BM/S15-081,,,,,,
BM/S15-082,,,,,,
BM/S15-083,,,,,,
BM/S15-084,,,,,,
BM/S15-085,,,,,,
BM/S15-086,,,,,,
BM/S15-087,,,,,,
BM/S15-088,,,,,,
BM/S15-089,,,,,,
BM/S15-090,,,,,,
BM/S15-091,,,,,,
BM/S15-092,,,,,,
BM/S15-093,,,,,,
BM/S15-094,,,,,,
BM/S15-095,,,,,,
BM/S15-096,,,,,,
BM/S15-097,,,,,,
BM/S15-098,,,,,,
BM/S15-099,,,,,,
BM/S15-100,,,,,,
BM/S15-101,"Motionless Silence, Koyomi Araragi",1,0,5000,0,1
BM/S15-102,Highly Suspicious Hitagi Senjyogahara,1,1,6500,0,1
BM/S15-103,"Daughter of a Proper Family, Senjyogahara Hitagi",3,2,10000,1,2
BM/S15-104,Weight Crab,0,0,0,2,0
BM/S15-105,"Ultimate Honor Student, Tsubasa Hanekawa",0,0,1000,0,1
BM/S15-T01,Karen Araragi & Tsuhiki Araragi,0,0,2500,0,1
BM/S15-T02,Suruga Kanbaru in Regular Clothes,0,0,3000,0,1
BM/S15-T03,"Battle Ready, Hitagi Senjyogahara",1,0,5000,0,1
BM/S15-T04,Shy Mayoi Hachikuji,1,1,2000,1,1
BM/S15-T05,"Girl Who Lost All Weight, Hitagi Senjyogahara",1,1,7000,0,1
BM/S15-T06,Hitagi Senjyogahara in Regular Clothes,2,1,8000,1,1
BM/S15-T07,"Elementary Student, Mayoi Hachikuji",2,1,8000,1,1
BM/S15-T08,"Loves BL, Suruga Kanbaru",2,2,8000,1,2
BM/S15-T09,HITAGI Crab,0,0,0,GATE,0
BM/S15-T10,"Curse-lifting Ritual, Nadeko Sengoku",0,0,2500,0,1
BM/S15-T11,Tsubasa Hanekawa in Pajamas,0,0,2500,0,1
BM/S15-T12,"Cat Ears, Tsubasa Hanekawa",0,0,3000,0,1
BM/S15-T13,"Maturing Girl, Nadeko Sengoku",1,0,5500,0,1
BM/S15-T14,Everything About Me,0,0,0,2,0
